timestamp,spy_price,spy_rsi,spy_ma200_dev,qqq_price,qqq_rsi,qqq_ma200_dev,vix,fear_greed,funnel_score,triggers
2026-05-22 14:01:02 UTC,7483.72,71.5,9.93,29511.58,73.45,16.84,16.93,61.4,0,
2026-05-22 14:15:16 UTC,7473.94,71.07,9.79,29488.38,73.3,16.75,16.82,60.5,0,
2026-05-22 14:21:37 UTC,7470.06,70.9,9.73,29460.9,73.11,16.64,16.92,60.2,0,
2026-05-25 15:20:36 UTC,7473.47,71.05,9.78,29481.64,73.25,16.72,16.69,58.6,0,
2026-06-01 17:54:00 UTC,7615.48,69.42,11.39,30628.05,69.24,20.47,15.85,59.6,0,
2026-06-08 16:06:22 UTC,7444.29,53.16,8.46,29596.2,56.82,15.68,18.25,43.8,0,
2026-06-15 17:23:03 UTC,7573.56,53.22,9.96,30548.36,54.7,18.71,16.03,42.0,0,
2026-06-22 17:06:47 UTC,7469.47,43.42,8.13,30226.25,47.96,16.86,17.21,36.1,0,
2026-06-29 15:57:55 UTC,7409.03,50.2,6.92,29528.87,50.86,13.55,18.03,26.5,0,
2026-07-06 15:47:12 UTC,7535.44,57.45,8.46,29826.45,51.39,14.19,15.88,44.9,0,
2026-07-13 14:48:23 UTC,7544.99,57.05,8.26,29454.68,42.16,12.24,16.33,44.7,0,
2026-07-20 14:20:48 UTC,7471.66,52.99,6.87,28759.1,39.92,9.12,18.07,38.4,0,
2026-07-27 14:49:27 UTC,7401.8,40.56,5.60,27901.59,35.37,5.50,19.53,39.5,0,
2026-08-03 14:53:01 UTC,7574.39,52.15,7.76,28655.71,40.66,8.02,15.75,44.5,0,
2026-08-10 13:21:11 UTC,7757.64,69.78,10.04,29722.3,59.7,11.64,15.42,63.7,0,
2026-08-17 12:54:34 UTC,7785.76,75.3,10.05,30046.14,70.52,12.37,15.06,65.0,0,
2026-08-24 13:00:57 UTC,7674.37,56.92,8.15,29308.86,57.85,9.25,15.93,55.2,0,
2026-08-31 19:00:56 UTC,7677.04,44.33,7.78,29367.05,47.07,8.99,15.18,49.7,0,
2026-09-07 17:37:42 UTC,7718.6,47.44,8.08,29544.15,42.11,9.30,15.3,41.9,0,
2026-09-14 17:58:25 UTC,7639.5,48.75,6.59,29277.67,55.1,7.83,16.73,31.1,0,
2026-09-21 18:06:25 UTC,7762.66,55.4,8.00,30421.56,63.91,11.62,15.03,34.4,0,
